Marca temporal,"Califica del 1 (no me gusta) al 5 (me encanta) tu preferencia para las siguientes cervezas comerciales. Si para alguna cerveza no tienes una opinión, escoge SR. [Barrilito]","Califica del 1 (no me gusta) al 5 (me encanta) tu preferencia para las siguientes cervezas comerciales. Si para alguna cerveza no tienes una opinión, escoge SR. [Bohemia Clara]","Califica del 1 (no me gusta) al 5 (me encanta) tu preferencia para las siguientes cervezas comerciales. Si para alguna cerveza no tienes una opinión, escoge SR. [Bohemia Oscura]","Califica del 1 (no me gusta) al 5 (me encanta) tu preferencia para las siguientes cervezas comerciales. Si para alguna cerveza no tienes una opinión, escoge SR. [Corona]","Califica del 1 (no me gusta) al 5 (me encanta) tu preferencia para las siguientes cervezas comerciales. Si para alguna cerveza no tienes una opinión, escoge SR. [Dos Equis Laguer]","Califica del 1 (no me gusta) al 5 (me encanta) tu preferencia para las siguientes cervezas comerciales. Si para alguna cerveza no tienes una opinión, escoge SR. [Dos Equis Ambar]","Califica del 1 (no me gusta) al 5 (me encanta) tu preferencia para las siguientes cervezas comerciales. Si para alguna cerveza no tienes una opinión, escoge SR. [Indio]","Califica del 1 (no me gusta) al 5 (me encanta) tu preferencia para las siguientes cervezas comerciales. Si para alguna cerveza no tienes una opinión, escoge SR. [León]","Califica del 1 (no me gusta) al 5 (me encanta) tu preferencia para las siguientes cervezas comerciales. Si para alguna cerveza no tienes una opinión, escoge SR. [Modelo Especial]","Califica del 1 (no me gusta) al 5 (me encanta) tu preferencia para las siguientes cervezas comerciales. Si para alguna cerveza no tienes una opinión, escoge SR. [Montejo]","Califica del 1 (no me gusta) al 5 (me encanta) tu preferencia para las siguientes cervezas comerciales. Si para alguna cerveza no tienes una opinión, escoge SR. [Negra Modelo]","Califica del 1 (no me gusta) al 5 (me encanta) tu preferencia para las siguientes cervezas comerciales. Si para alguna cerveza no tienes una opinión, escoge SR. [Sol]","Califica del 1 (no me gusta) al 5 (me encanta) tu preferencia para las siguientes cervezas comerciales. Si para alguna cerveza no tienes una opinión, escoge SR. [Tecate Roja]","Califica del 1 (no me gusta) al 5 (me encanta) tu preferencia para las siguientes cervezas comerciales. Si para alguna cerveza no tienes una opinión, escoge SR. [Tecate Light]","Califica del 1 (no me gusta) al 5 (me encanta) tu preferencia para las siguientes cervezas comerciales. Si para alguna cerveza no tienes una opinión, escoge SR. [Victoria]","Califica del 1 (no me gusta) al 5 (me encanta) tu preferencia para los siguientes estilos. Si para algún estilo no tienes una opinión, escoge SR [Pale Lager]","Califica del 1 (no me gusta) al 5 (me encanta) tu preferencia para los siguientes estilos. Si para algún estilo no tienes una opinión, escoge SR [Pilsner]","Califica del 1 (no me gusta) al 5 (me encanta) tu preferencia para los siguientes estilos. Si para algún estilo no tienes una opinión, escoge SR [Amber Lager]","Califica del 1 (no me gusta) al 5 (me encanta) tu preferencia para los siguientes estilos. Si para algún estilo no tienes una opinión, escoge SR [Bock]","Califica del 1 (no me gusta) al 5 (me encanta) tu preferencia para los siguientes estilos. Si para algún estilo no tienes una opinión, escoge SR [Dark Lager]","Califica del 1 (no me gusta) al 5 (me encanta) tu preferencia para los siguientes estilos. Si para algún estilo no tienes una opinión, escoge SR [Wheat Beer]","Califica del 1 (no me gusta) al 5 (me encanta) tu preferencia para los siguientes estilos. Si para algún estilo no tienes una opinión, escoge SR [Pale Ale]","Califica del 1 (no me gusta) al 5 (me encanta) tu preferencia para los siguientes estilos. Si para algún estilo no tienes una opinión, escoge SR [Indian Pale Ale]","Califica del 1 (no me gusta) al 5 (me encanta) tu preferencia para los siguientes estilos. Si para algún estilo no tienes una opinión, escoge SR [Strong Ale]","Califica del 1 (no me gusta) al 5 (me encanta) tu preferencia para los siguientes estilos. Si para algún estilo no tienes una opinión, escoge SR [Brown Ale]","Califica del 1 (no me gusta) al 5 (me encanta) tu preferencia para los siguientes estilos. Si para algún estilo no tienes una opinión, escoge SR [Porter]","Califica del 1 (no me gusta) al 5 (me encanta) tu preferencia para los siguientes estilos. Si para algún estilo no tienes una opinión, escoge SR [Stout]","Califica del 1 (no me gusta) al 5 (me encanta) tu preferencia para las siguientes cervezas comerciales. Si para alguna cerveza no tienes una opinión, escoge SR. [Bud Light]","Califica del 1 (no me gusta) al 5 (me encanta) tu preferencia para las siguientes cervezas comerciales. Si para alguna cerveza no tienes una opinión, escoge SR. [Pacífico]"
12/03/2020 17:14:39,2,3,5,1,3,4,3,4,3,3,5,1,3,2,3,4,3,4,4,5,4,4,4,5,4,4,5,,
12/03/2020 17:24:51,2,2,3,2,1,2,1,2,4,SR,3,1,1,1,3,SR,3,SR,4,SR,SR,1,1,SR,SR,4,4,,
12/03/2020 17:26:06,1,2,3,1,2,2,1,4,3,3,3,1,1,1,1,2,3,2,2,2,1,3,4,3,4,4,4,,
12/03/2020 17:33:57,3,3,5,2,4,4,5,4,3,3,4,1,1,1,4,3,3,3,4,4,3,3,5,4,4,5,5,,
12/03/2020 17:37:30,2,1,3,1,1,4,3,2,1,1,4,1,1,2,1,2,3,3,3,4,3,4,5,3,4,5,5,,
12/03/2020 18:08:09,2,3,3,2,2,2,2,3,2,2,3,2,2,1,2,3,3,3,4,3,4,4,5,5,3,5,5,,
12/03/2020 18:11:53,3,3,3,1,2,3,SR,5,5,SR,5,2,3,5,5,SR,SR,SR,3,4,SR,4,SR,4,5,4,4,,
12/03/2020 18:51:03,3,3,4,2,4,4,3,5,4,1,3,1,5,3,4,2,2,3,3,3,4,3,5,3,4,3,5,,
12/03/2020 20:47:08,2,4,5,3,4,4,5,SR,4,1,5,2,1,1,1,SR,4,SR,3,SR,3,3,SR,SR,SR,5,5,,
13/03/2020 8:26:17,4,2,3,3,1,3,1,4,1,5,3,4,5,5,1,1,1,SR,SR,SR,SR,SR,3,4,4,4,4,,
13/03/2020 8:26:57,1,2,4,1,5,5,3,3,2,2,4,1,SR,1,3,5,3,5,3,5,5,4,1,4,4,4,3,,
13/03/2020 8:46:34,SR,SR,5,2,4,3,3,4,SR,SR,4,1,SR,1,2,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,5,,
13/03/2020 8:46:47,3,3,3,1,3,3,3,3,3,3,3,2,3,1,3,2,3,4,SR,SR,3,2,1,3,1,2,2,,
13/03/2020 9:16:18,4,4,4,1,4,3,3,2,2,2,2,2,2,2,2,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,,
13/03/2020 9:16:48,4,5,5,1,4,4,3,1,1,1,5,1,1,1,1,4,5,3,5,4,SR,3,3,3,3,5,5,,
13/03/2020 9:18:59,SR,3,4,3,3,SR,4,SR,3,SR,4,2,SR,3,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,,
13/03/2020 9:19:38,4,3,5,1,5,4,5,5,2,2,SR,1,1,2,2,4,2,2,SR,SR,2,5,4,4,5,3,SR,,
13/03/2020 9:20:02,3,4,5,2,2,4,5,5,3,3,4,2,4,1,SR,3,4,5,4,5,2,2,2,2,2,2,2,,
13/03/2020 9:20:20,4,3,5,4,4,5,4,5,4,4,4,4,3,4,5,5,4,5,4,3,SR,5,4,SR,4,5,SR,,
13/03/2020 9:23:08,4,4,4,1,4,3,3,2,2,2,2,2,2,2,2,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,,
13/03/2020 9:23:43,SR,3,3,1,4,3,3,SR,SR,SR,SR,SR,SR,SR,5,3,SR,3,SR,4,SR,3,SR,4,3,SR,4,,
13/03/2020 9:24:31,3,3,2,2,4,4,3,3,3,2,1,1,1,SR,3,3,3,2,3,4,2,3,SR,3,3,2,3,,
13/03/2020 9:28:29,3,4,4,4,5,5,4,4,4,4,4,2,2,3,4,5,5,5,2,4,5,2,2,2,2,3,3,,
13/03/2020 9:41:47,SR,2,5,SR,3,SR,4,3,SR,SR,3,SR,SR,1,3,3,SR,3,SR,SR,SR,5,5,SR,SR,SR,5,,
13/03/2020 10:22:22,5,4,4,5,2,2,3,2,3,3,3,1,1,1,3,3,3,3,4,5,3,2,2,3,5,5,5,,
13/03/2020 10:27:22,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,5,5,5,1,1,1,5,1,1,1,3,1,,
13/03/2020 11:41:50,SR,2,5,2,3,3,3,5,3,SR,2,2,2,1,4,3,3,3,5,SR,SR,3,3,2,2,5,5,,
13/03/2020 13:31:26,SR,SR,SR,3,SR,SR,3,SR,3,3,SR,3,2,3,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,SR,,
13/03/2020 13:31:32,4,4,3,5,5,4,4,3,4,4,3,5,2,1,4,SR,SR,4,3,4,SR,SR,3,SR,SR,4,3,,
